brand,title,type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation,cleaned_type,brand_cleaned,location,gender
dior,christian dior sauvage men's edp 3.4 oz fragrance spray,eau de parfum,84.99,us $84.99/ea,10.0,more than 10 available / 116 sold,116.0,"may 24, 2024 10:03:04 pdt","allen park, michigan, united states",eau de parfum,Dior,united states,male
as show,a-v-entus eau de parfum 3.3 oz 100ml millesime edp col-ogne for men new in box,eau de parfum,109.99,us $109.99,8.0,8 available / 48 sold,48.0,"may 23, 2024 23:07:49 pdt","atlanta, georgia, canada",eau de parfum,Unbranded, canada,male
unbranded,hogo boss cologne for men 3.4 oz,eau de toilette,100.0,us $100.00,10.0,more than 10 available / 27 sold,27.0,"may 22, 2024 21:55:43 pdt","dearborn, michigan, united states",eau de toilette,Unbranded,united states,male
giorgio armani,acqua di gio by giorgio armani 6.7 fl oz eau de toilette spray men' new & sealed,eau de toilette,44.99,us $44.99/ea,2.0,2 available / 159 sold,159.0,"may 24, 2024 03:30:43 pdt","reinholds, pennsylvania, united states",eau de toilette,Giorgio Armani,united states,male
multiple brands,men's perfume sampler 10pcs sample vials designer fragrance samples for men,perfume,14.99,us $14.99,10.0,more than 10 available / 79 sold,79.0,"may 23, 2024 06:57:41 pdt","houston, texas, united states",unknown,Unbranded,united states,male
maison alhambra,glacier bold by maison alhambra 3.4oz edp for men new sealed can,eau de parfum,30.99,us $30.99/ea,9.0,9 available / 39 sold,39.0,"may 16, 2024 13:42:49 pdt","englewood cliffs, new jersey, united states",eau de parfum,Maison Alhambra,united states,male
unbranded,hawas for him eau de parfum by rasasi 100ml 3.4 fl oz new,/,15.89,us $15.89,10.0,10 available / 17 sold,17.0,"may 24, 2024 09:08:14 pdt","shanghai, china",unknown,Unbranded, china,male
gucci,"gucci guilty for him - classic 3oz eau de toilette spray, brand new",eau de parfum,49.99,us $49.99/ea,8.0,8 available / 68 sold,68.0,"may 23, 2024 07:21:23 pdt","dearborn heights, michigan, united states",eau de parfum,Gucci,united states,male
ralph lauren,polo blue by ralph lauren 4.2 oz edt cologne for men brand new in box,eau de toilette,34.99,us $34.99/ea,10.0,more than 10 available / 615 sold,615.0,"may 24, 2024 07:53:23 pdt","ecorse, michigan, united states",eau de toilette,Ralph Lauren,united states,male
dolce&gabbana,dolce & gabbana light blue men 4.2 oz / 125 ml edt spray brand new & sealed,eau de toilette,29.95,us $29.95/ea,7.0,7 available / 458 sold,458.0,"may 23, 2024 08:37:49 pdt","warren, michigan, united states",eau de toilette,Unbranded,united states,male
secertmu,new 2024 sexy cologne cupid hypnosis long lasting pheromone perfume for men,perfume,15.99,us $15.99,10.0,more than 10 available / 889 sold,889.0,"may 21, 2024 19:20:12 pdt","san francisco, california, united states",unknown,Unbranded,united states,male
as show,sauvage eau de parfum spray for men 3.4 oz/100ml new in seald box,eau de parfum,59.99,us $59.99/ea,9.0,9 available / 63 sold,63.0,"may 23, 2024 03:08:18 pdt","dayton,new jersey, hong kong",eau de parfum,Unbranded, hong kong,male
versace,eau fraiche by versace 3.4 oz 100 ml eau de toilette brand new sealed in box,eau de toilette,34.99,us $34.99/ea,7.0,7 available / 136 sold,136.0,"may 24, 2024 00:02:27 pdt","warren, michigan, united states",eau de toilette,Versace,united states,male
paco rabanne,1 million by paco rabanne 3.4 fl oz / 100 ml parfum spray men's new & sealed,parfum,68.99,us $68.99/ea,2.0,2 available / 20 sold,20.0,"may 24, 2024 02:41:49 pdt","san jose, california, united states",parfum,Paco Rabanne,united states,male
grandeur,tribal intense by grandeur - eau de parfum for men -100ml (3.4oz),eau de parfum,37.99,us $37.99,10.0,more than 10 available / 44 sold,44.0,"may 24, 2024 08:14:43 pdt","miami, florida, united states",eau de parfum,Unbranded,united states,male
armaf,club de nuit intense by armaf 3.6 oz edt cologne for men new in box & sealed,eau de toilette,29.99,us $29.99/ea,5.0,5 available / 384 sold,384.0,"may 24, 2024 05:13:20 pdt","hamtramck, michigan, united states",eau de toilette,Armaf,united states,male
carolina herrera,carolina herrera 212 nyc men's cologne edt 3.4oz 100ml new sealed,eau de toilette,39.99,us $39.99/ea,10.0,more than 10 available / 236 sold,236.0,"may 23, 2024 08:48:22 pdt","flat lick, kentucky, united states",eau de toilette,Carolina Herrera,united states,male
dior,dior sauvage eau de toilette 3.4 oz 100ml brand new sealed free shipping,eau de toilette,83.95,us $83.95,4.0,4 available / 22 sold,22.0,"may 22, 2024 14:31:55 pdt","elmhurst, new york, united states",eau de toilette,Dior,united states,male
clinique,clinique happy pour homme cologne edt for men 3.4 oz 3.3 new in box,eau de toilette,21.99,us $21.99/ea,4.0,4 available / 86 sold,86.0,"may 21, 2024 14:28:23 pdt","miami, florida, united states",eau de toilette,Unbranded,united states,male
dumont,dumont men's nitro red edp spray 3.4 oz fragrances 3760060761880,fragrances,49.99,us $49.99,3.0,3 available / 187 sold,187.0,"may 24, 2024 09:02:39 pdt","brooklyn, new york, united states",unknown,Unbranded,united states,male
afnan,turathi blue by afnan for men edp 3oz new in sealed box,eau de parfum,33.7,us $33.70,10.0,more than 10 available / 131 sold,131.0,"may 21, 2024 14:00:54 pdt","dallas, texas, united states",eau de parfum,Afnan,united states,male
versace,versace eros by gianni versace 3.4oz edt cologne for men 100ml new in box,eau de toilette,35.99,us $35.99,2.0,2 available / 43 sold,43.0,"may 24, 2024 00:13:55 pdt","pomona, california, united states",eau de toilette,Versace,united states,male
azzaro,azzaro the most wanted 3.3 oz./100 ml. parfum spray for men. new in sealed box,parfum,89.97,us $89.97/ea,10.0,10 available / 920 sold,920.0,"may 24, 2024 08:32:16 pdt","katy, texas, united states",parfum,Azzaro,united states,male
unbranded,usa parfums de marly layton royal essence 4.2 oz. men's eau de parfum,eau de parfum,92.99,us $92.99,5.0,5 available / 19 sold,19.0,"may 24, 2024 00:01:17 pdt","college point, new york, united states",eau de parfum,Unbranded,united states,male
giorgio armani,acqua di gio profumo by giorgio armani 4.2oz cologne for men new in box,eau de parfum,119.99,us $119.99,10.0,10 available / 34 sold,34.0,"may 24, 2024 07:16:53 pdt","new york,usa, hong kong",eau de parfum,Giorgio Armani, hong kong,male
bharara,bharara double bleu pour homme by bharara 3.4/3.3 oz edp spray for men new,eau de parfum,51.91,us $51.91/ea,4.0,4 available / 47 sold,47.0,"may 19, 2024 13:15:33 pdt","richmond hill, new york, united states",eau de parfum,Unbranded,united states,male
paco rabanne,1 million paco rabanne men 3.4 oz edt spray,eau de toilette,49.99,us $49.99/ea,8.0,8 available / 170 sold,170.0,"may 23, 2024 07:03:35 pdt","dexter, michigan, united states",eau de toilette,Paco Rabanne,united states,male
armaf,armaf club de nuit intense 3.6 oz for men edt sole official distributor of armaf,eau de toilette,32.85,us $32.85/ea,10.0,"more than 10 available / 8,385 sold",8385.0,"may 17, 2024 15:41:45 pdt","houston, texas, united states",eau de toilette,Armaf,united states,male
valentino,valentino uomo born in roma 3.4 oz. eau de toilette spray for men new in box,eau de toilette,89.97,us $89.97/ea,10.0,10 available / 295 sold,295.0,"may 24, 2024 08:44:55 pdt","katy, texas, united states",eau de toilette,Valentino,united states,male
guy laroche,drakkar noir by guy laroche 3.4 oz / 3.3 oz edt spray for men new unboxed,eau de toilette,16.98,us $16.98/ea,620.0,"620 available / 2,345 sold",2345.0,"may 23, 2024 18:45:23 pdt","dallas, texas, united states",eau de toilette,Unbranded,united states,male
montblanc,mont blanc legend 3.3 / 3.4 oz edt cologne for men new in box,eau de toilette,32.89,us $32.89/ea,383.0,"383 available / 5,032 sold",5032.0,"may 21, 2024 07:59:07 pdt","dallas, texas, united states",eau de toilette,Montblanc,united states,male
armaf,club de nuit untold by armaf 3.6 oz edp brand new in box sealed free shipping,eau de parfum,39.99,us $39.99/ea,8.0,8 available / 276 sold,276.0,"may 24, 2024 06:26:11 pdt","phoenix, arizona, united states",eau de parfum,Armaf,united states,male
paco rabanne,phantom by paco rabanne 3.4 oz edt cologne for men brand new in box,eau de toilette,40.99,us $40.99,10.0,more than 10 available / 37 sold,37.0,"may 22, 2024 00:25:54 pdt","college point, new york, united states",eau de toilette,Paco Rabanne,united states,male
givenchy,pi by givenchy cologne for men edt 3.3 / 3.4 oz new tester,eau de toilette,34.72,us $34.72/ea,71.0,71 available / 627 sold,627.0,"may 24, 2024 10:20:09 pdt","dallas, texas, united states",eau de toilette,Givenchy,united states,male
armaf,tag uomo rosso by armaf edp 3.4 oz / 100 ml for men (nib)sealed,eau de parfum,39.0,us $39.00,3.0,3 available / 24 sold,24.0,"may 22, 2024 10:17:56 pdt","brooklyn, new york, united states",eau de parfum,Armaf,united states,male
lattafa,qaed al fursan by lattafa perfume for unisex edp 3.04 oz new in box,eau de parfum,21.54,us $21.54/ea,96.0,96 available / 989 sold,989.0,"may 24, 2024 06:21:20 pdt","dallas, texas, united states",eau de parfum,Lattafa,united states,male
polo ralph lauren,polo sport ralph lauren 4.2 oz cologne for men edt new in box,eau de toilette,32.97,us $32.97/ea,756.0,"1,756 available / 5,023 sold",5023.0,"may 24, 2024 07:57:49 pdt","dallas, texas, united states",eau de toilette,Ralph Lauren,united states,male
ralph lauren,polo sport fresh by ralph lauren cologne for men edt 4.2 oz new in box,eau de toilette,23.34,us $23.34/ea,452.0,452 available / 972 sold,972.0,"may 24, 2024 08:09:10 pdt","dallas, texas, united states",eau de toilette,Ralph Lauren,united states,male
john varvatos,artisan by john varvatos 4.2 oz edt men's cologne new tester,eau de toilette,27.94,us $27.94/ea,161.0,161 available / 485 sold,485.0,"may 23, 2024 12:42:34 pdt","dallas, texas, united states",eau de toilette,John Varvatos,united states,male
afnan,afnan 9am dive eau de parfum spray unisex 3.4 oz / 100 ml,eau de parfum,32.5,us $32.50,5.0,5 available / 372 sold,372.0,"may 23, 2024 17:14:52 pdt","edison, new jersey, united states",eau de parfum,Afnan,united states,male
nautica,nautica blue by nautica 3.4 oz / 100 ml eau de toilette spray new & sealed,eau de toilette,14.99,us $14.99,3.0,3 available / 291 sold,291.0,"may 23, 2024 10:21:16 pdt","armada, michigan, united states",eau de toilette,Unbranded,united states,male
giorgio armani,giorgio armani acqua di gio 6.7oz / 200ml men's eau de toilette spray brand new,eau de toilette,45.95,us $45.95,5.0,5 available / 578 sold,578.0,"may 23, 2024 19:16:37 pdt","kalamazoo, michigan, united states",eau de toilette,Giorgio Armani,united states,male
giorgio armani,armani code profumo by giorgio armani 3.7 fl oz spray parfum men's new & sealed,eau de parfum,68.99,us $68.99/ea,2.0,2 available / 99 sold,99.0,"may 24, 2024 02:15:09 pdt","charlotte, north carolina, united states",eau de parfum,Giorgio Armani,united states,male
as picture show,sauvage eau de parfum 3.4 oz / 100 ml edp spray for men new in seald box,eau de parfum,69.99,us $69.99,56.0,56 available / 44 sold,44.0,"apr 23, 2024 20:25:43 pdt","dayton, new jersey, united states",eau de parfum,Unbranded,united states,male
secertmu,new 2024 sexy cologne cupid hypnosis long lasting pheromone perfume for men us,perfume,13.99,us $13.99,10.0,more than 10 available / 290 sold,290.0,"may 21, 2024 19:21:49 pdt","san francisco, california, united states",unknown,Unbranded,united states,male
tommy hilfiger,tommy boy est 1985 by tommy hilfiger cologne edt men 3.4 / 3.3 oz new in box,eau de toilette,26.11,us $26.11/ea,4.0,"4 available / 12,184 sold",12184.0,"may 23, 2024 13:00:07 pdt","dallas, texas, united states",eau de toilette,Tommy Hilfiger,united states,male
unbranded,sealed new cupid 2.0 hypnosis men’s pheromone cologne 1.7 oz meet more hot women,perfume,14.99,us $14.99,10.0,more than 10 available / 172 sold,172.0,"may 24, 2024 10:16:08 pdt","perth amboy, new jersey, united states",unknown,Unbranded,united states,male
2nd to none,6 for $19.95 men(m) women(w) & unisex(u) body oil fragrances 10 ml roll on pure,concentrated uncut pure body oil,6.65,us $6.65,9.0,"9 available / 18,882 sold",18882.0,"may 21, 2024 19:14:49 pdt","lagrange, georgia, united states",body oil,Unbranded,united states,male
dior,sauvage dior eau de parfum minature 10ml / 0.34 oz ...,eau de parfum,25.99,us $25.99/ea,6.0,"6 available / 1,332 sold",1332.0,"may 24, 2024 04:03:31 pdt","cranston, rhode island, united states",eau de parfum,Dior,united states,male
yves saint laurent,y by yves saint laurent le parfum 3.3 fl oz spray men's new & sealed,le parfum,60.99,us $60.99/ea,2.0,2 available / 35 sold,35.0,"may 24, 2024 07:11:06 pdt","las vegas, nevada, united states",unknown,Yves Saint Laurent,united states,male
yves saint laurent,yves saint laurent y men's eau de parfum 3.4 oz/100 ml,eau de parfum,47.88,us $47.88/ea,10.0,more than 10 available / 25 sold,25.0,"may 23, 2024 20:46:56 pdt","sacramento, california, united states",eau de parfum,Yves Saint Laurent,united states,male
calvin klein,eternity for men by calvin klein 3.3 / 3.4 oz edt new in box,eau de toilette,31.08,us $31.08/ea,842.0,"842 available / 1,362 sold",1362.0,"may 21, 2024 23:15:46 pdt","dallas, texas, united states",eau de toilette,Calvin Klein,united states,male
versace,versace eros by gianni versace 3.4 oz 100ml edt cologne for men new in box,eau de toilette,35.99,us $35.99/ea,5.0,5 available / 221 sold,221.0,"may 24, 2024 00:47:14 pdt","dayton, new jersey, canada",eau de toilette,Versace, canada,male
rasasi,rasasi dareej 3.4 oz-100 ml men edp spray new & sealed new sale,eau de parfum,25.99,us $25.99,10.0,more than 10 available / 3 sold,3.0,"may 19, 2024 15:48:43 pdt","windsor mill, maryland, united states",eau de parfum,Unbranded,united states,male
ralph lauren,polo by ralph lauren 4.0 oz cologne edt men green new in box,eau de toilette,38.57,us $38.57/ea,484.0,"484 available / 1,503 sold",1503.0,"may 22, 2024 17:31:34 pdt","dallas, texas, united states",eau de toilette,Ralph Lauren,united states,male
azzaro,chrome legend by azzaro cologne for men edt 2.6 oz 2.5 new in box,eau de toilette,16.26,us $16.26/ea,12.0,12 available / 644 sold,644.0,"may 20, 2024 07:59:19 pdt","dallas, texas, united states",eau de toilette,Azzaro,united states,male
lattafa,lattafa men's ramz gold edp spray 3.38 oz fragrances 6291106066715,fragrances,15.03,us $15.03,3.0,3 available / 44 sold,44.0,"may 24, 2024 05:02:25 pdt","brooklyn, new york, united states",unknown,Lattafa,united states,male
versace,versace man eau fraiche by gianni versace edt 0.17oz new in box,eau de toilette,8.32,us $8.32/ea,322.0,"1,322 available / 417 sold",417.0,"may 23, 2024 08:22:19 pdt","dallas, texas, united states",eau de toilette,Versace,united states,male
giorgio armani,armani code by giorgio armani edt for men 4.2 oz / 125 ml brand new sealed,eau de toilette,37.8,us $37.80/ea,8.0,8 available / 300 sold,300.0,"may 23, 2024 09:23:09 pdt","west orange, new jersey, united states",eau de toilette,Giorgio Armani,united states,male
guy laroche,drakkar noir by guy laroche cologne for men edt 6.7 / 6.8 oz new in box,eau de toilette,27.59,us $27.59/ea,323.0,"1,323 available / 4,972 sold",4972.0,"may 17, 2024 15:16:24 pdt","dallas, texas, united states",eau de toilette,Unbranded,united states,male
ralph lauren,ralph lauren polo est. 67 eau de toilette .34 oz. travel  spray new!,eau de toilette,26.5,us $26.50,3.0,3 available / 3 sold,3.0,"may 22, 2024 18:18:03 pdt","henrico, virginia, united states",eau de toilette,Ralph Lauren,united states,male
dolce&gabbana,light blue eau intense / dolce & gabbana edp spray 1.6 oz (50 ml) (m),eau de parfum,35.71,us $35.71,3.0,3 available / 36 sold,36.0,"may 24, 2024 06:58:53 pdt","brooklyn, new york, united states",eau de parfum,Unbranded,united states,male
