brand,title,type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation,cleaned_type,brand_cleaned,location,gender
carolina herrera,good girl by carolina herrera 2.7 oz eau de parfum spray women's new & sealed,eau de parfum,43.99,us $43.99/ea,2.0,2 available / 393 sold,393.0,"may 23, 2024 10:43:50 pdt","thomasville, alabama, united states",eau de parfum,Carolina Herrera, united states,female
as shown,parfums de marly delina la rosee eau de parfum 2.5 fl oz/75ml spray for women,eau de parfum,79.99,us $79.99,5.0,5 available / 40 sold,40.0,"may 24, 2024 00:15:48 pdt","new jersey, hong kong",eau de parfum,, hong kong,female
prada,prada paradoxe by prada edp 3.0oz/90ml spray perfume for women new in box,eau de parfum,59.99,us $59.99,10.0,more than 10 available / 35 sold,35.0,"may 14, 2024 20:54:25 pdt","orange, new jersey, united states",eau de parfum,Prada, united states,female
as show,j'adore parfum d'eau by christian 3.4 oz edp fragrance for women new in box,eau de parfum,59.99,us $59.99/ea,10.0,more than 10 available / 9 sold,9.0,"may 23, 2024 01:23:05 pdt","usa, new jersey, hong kong",eau de parfum,, hong kong,female
viktor & rolf,flowerbomb by viktor & rolf 3.4 oz 100ml eau de parfum brand new sealed in box,eau de parfum,51.99,us $51.99/ea,8.0,8 available / 184 sold,184.0,"may 23, 2024 10:44:09 pdt","warren, michigan, united states",eau de parfum,Viktor & Rolf, united states,female
versace,versace bright crystal women edt 6.7 oz 200 ml new sealed in box,eau de toilette,52.79,us $52.79/ea,6.0,6 available / 258 sold,258.0,"may 21, 2024 06:41:13 pdt","dexter, michigan, united states",eau de toilette,Versace, united states,female
lattafa,fakhar by lattafa eau de parfum 3.4 oz / 100 ml spray for men,eau de parfum,22.75,us $22.75/ea,10.0,more than 10 available / 174 sold,174.0,"may 24, 2024 00:25:04 pdt","new york, new york, united states",eau de parfum,Lattafa, united states,female
yves saint laurent,yves saint laurent black opium 3oz eau de parfum women's new sealed,eau de parfum,39.99,us $39.99/ea,10.0,more than 10 available / 77 sold,77.0,"may 24, 2024 11:01:13 pdt","ecorse, michigan, united states",eau de parfum,Yves Saint Laurent, united states,female
gucci,gucci bloom 3.3oz / 3.4oz eau de parfum women's fragrance new sealed,eau de parfum,64.99,us $64.99/ea,10.0,more than 10 available / 35 sold,35.0,"may 24, 2024 11:01:04 pdt","ecorse, michigan, united states",eau de parfum,Gucci, united states,female
carolina herrera,very good girl glam by carolina herrera 2.7 oz eau de parfum spray new & sealed,eau de parfum,60.99,us $60.99/ea,2.0,2 available / 51 sold,51.0,"may 23, 2024 16:56:32 pdt","quinlan, texas, united states",eau de parfum,Carolina Herrera, united states,female
